StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q4,Q71,Q89_1,Q89_2,Q89_3,Q89_4,Q89_5,Q89_6,Q89_7,Q89_8,Q74,Q72,Q73,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,Q24,Q24_2_TEXT,Q99,Q87_1,Q87_2,Q87_3,Q87_4,Q87_5,Q87_6,Q87_7,Q87_8,Q87_9,Q87_10,Q87_11,Q87_12,Q87_13,Q77_1,Q77_2,Q77_3,Q77_4,Q77_5,Q77_6,Q77_7,Q77_8,Q77_9,Q77_10,Q77_11,Q75_1,Q75_2,Q75_3,Q75_4,Q75_5,Q75_6,Q101,Q22,Q22_4_TEXT,Q23,Q57,Q57_3_TEXT,Q62,Q62_6_TEXT,Q58,Q59,Q64,Q64_12_TEXT,Q63,Q63_9_TEXT,assigned_category,assigned_group,session_id
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Do you consent to have your conversation and survey data to be used in our study? This information will be anonymous but may be published publicly.,What is your Prolific ID?,Please rank the following statements according to how much you agree or disagree with them. These pertain to your sentiment in regards to AI (artificial intelligence). - There are many beneficial applications of AI,Please rank the following statements according to how much you agree or disagree with them. These pertain to your sentiment in regards to AI (artificial intelligence). - AI can help people feel happier,Please rank the following statements according to how much you agree or disagree with them. These pertain to your sentiment in regards to AI (artificial intelligence). - You want to use/interact with AI in daily life,Please rank the following statements according to how much you agree or disagree with them. These pertain to your sentiment in regards to AI (artificial intelligence). - AI can provide new economic opportunities,Please rank the following statements according to how much you agree or disagree with them. These pertain to your sentiment in regards to AI (artificial intelligence). - Society will benefit from AI,Please rank the following statements according to how much you agree or disagree with them. These pertain to your sentiment in regards to AI (artificial intelligence). - You love everything about AI,Please rank the following statements according to how much you agree or disagree with them. These pertain to your sentiment in regards to AI (artificial intelligence). - Some complex decisions should be left to AI,Please rank the following statements according to how much you agree or disagree with them. These pertain to your sentiment in regards to AI (artificial intelligence). - You would trust your life savings to an AI system,What kind of agent are you conversing with?,What is the motive/goal of the AI you are assigned to chat with?,What is the scenario you are in?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Did you have any technical difficulties? - Selected Choice,Did you have any technical difficulties? - Yes (please specify) - Text,Please describe your experience overall.,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - You would recommend this agent for your friend,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - The agent is trustworthy,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - The agent is empathetic,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - You want to talk to the agent again,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - You felt a personal connection with the agent,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - The agent could become a friend of yours,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - The motive statement influenced your perception,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - The agent was generally helpful,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - The agent was effective in giving mental health advice,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - The agent tried to get to know you,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - The agent was repetitive,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - The agent often said things that did not make sense,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - The agent seemed human (vs. AI),Please rank the following statements. - This agent would be useful in daily life.,Please rank the following statements. - Using the agent would increase my chances of achieving things that are important to me.,Please rank the following statements. - Using the agent would help me accomplish things more quickly.,Please rank the following statements. - Using the agent would increase my productivity.,Please rank the following statements. - Learning how to talk to the agent was easy for me.,Please rank the following statements. - My interaction with the agent was clear and understandable.,Please rank the following statements. - The agent was easy to make use of.,Please rank the following statements. - It was easy for you to become skillful at making use of the agent.,Please rank the following statements. - Conversing with the agent is fun.,Please rank the following statements. - Conversing with the agent is enjoyable.,Please rank the following statements. - Conversing with the agent is entertaining.,"Task Load Index - please rate the following items, 1 being very low and 20 being very high. - Mental Demand: How mentally demanding was the task?","Task Load Index - please rate the following items, 1 being very low and 20 being very high. - Physical Demand: How physically demanding was the task?","Task Load Index - please rate the following items, 1 being very low and 20 being very high. - Temporal Demand: How hurried or rushed was the pace of the task?","Task Load Index - please rate the following items, 1 being very low and 20 being very high. - Performance: How successful were you in accomplishing what you were asked to do?","Task Load Index - please rate the following items, 1 being very low and 20 being very high. - Effort: How hard did you have to work to accomplish your level of performance?","Task Load Index - please rate the following items, 1 being very low and 20 being very high. - Frustration: How insecure, discouraged, irritated, stressed, and annoyed were you?","From your own experience, what quality of data do you think the agent was trained on?","From your own experience, what do you think the motive of the agent was? - Selected Choice","From your own experience, what do you think the motive of the agent was? - Other - Text",Why do you think the agent had that motive?,What gender do you identify as? - Selected Choice,What gender do you identify as? - Prefer to self-describe - Text,Which sexual orientation best describes you? - Selected Choice,Which sexual orientation best describes you? - Prefer to self-describe - Text,How old are you?,What is the highest level of education you have completed?,What best describes your race? (one or more categories may be selected) - Selected Choice,What best describes your race? (one or more categories may be selected) - Prefer to self-describe - Text,"Are you of Hispanic, Latino/a/x, or of Spanish origin? (one or more categories may be selected) - Selected Choice","Are you of Hispanic, Latino/a/x, or of Spanish origin? (one or more categories may be selected) - Prefer to self-describe - Text",assigned_category,assigned_group,session_id
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID4""}","{""ImportId"":""QID71_TEXT""}","{""ImportId"":""QID89_1""}","{""ImportId"":""QID89_2""}","{""ImportId"":""QID89_3""}","{""ImportId"":""QID89_4""}","{""ImportId"":""QID89_5""}","{""ImportId"":""QID89_6""}","{""ImportId"":""QID89_7""}","{""ImportId"":""QID89_8""}","{""ImportId"":""QID74""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID15_FIRST_CLICK""}","{""ImportId"":""QID15_LAST_CLICK""}","{""ImportId"":""QID15_PAGE_SUBMIT""}","{""ImportId"":""QID15_CLICK_COUNT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_2_TEXT""}","{""ImportId"":""QID99_TEXT""}","{""ImportId"":""QID87_1""}","{""ImportId"":""QID87_2""}","{""ImportId"":""QID87_12""}","{""ImportId"":""QID87_3""}","{""ImportId"":""QID87_4""}","{""ImportId"":""QID87_14""}","{""ImportId"":""QID87_5""}","{""ImportId"":""QID87_6""}","{""ImportId"":""QID87_7""}","{""ImportId"":""QID87_8""}","{""ImportId"":""QID87_9""}","{""ImportId"":""QID87_10""}","{""ImportId"":""QID87_11""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID77_2""}","{""ImportId"":""QID77_3""}","{""ImportId"":""QID77_4""}","{""ImportId"":""QID77_5""}","{""ImportId"":""QID77_6""}","{""ImportId"":""QID77_7""}","{""ImportId"":""QID77_8""}","{""ImportId"":""QID77_9""}","{""ImportId"":""QID77_11""}","{""ImportId"":""QID77_10""}","{""ImportId"":""QID75_1""}","{""ImportId"":""QID75_2""}","{""ImportId"":""QID75_3""}","{""ImportId"":""QID75_4""}","{""ImportId"":""QID75_5""}","{""ImportId"":""QID75_6""}","{""ImportId"":""QID101""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_4_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID57""}","{""ImportId"":""QID57_3_TEXT""}","{""ImportId"":""QID62""}","{""ImportId"":""QID62_6_TEXT""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID64""}","{""ImportId"":""QID64_12_TEXT""}","{""ImportId"":""QID63""}","{""ImportId"":""QID63_9_TEXT""}","{""ImportId"":""assigned_category""}","{""ImportId"":""assigned_group""}","{""ImportId"":""session_id""}"
2022-06-17 18:57:56,2022-06-17 19:10:41,IP Address,*******,100,765,True,2022-06-17 19:10:41,R_sT4iHsDd1L3MO4N,*******,*******,*******,*******,*******,*******,anonymous,EN,0.8999999761581421,Yes,test Ruby,6,6,6,6,6,6,6,6,A mental health companion,"Manipulative motives, to get you to purchase its service",You are conversing with a mental health conversational agent to determine whether you want to recommend this for your friend.,0,0,624.722,0,No,,test Ruby,6,5,6,5,6,,5,6,6,6,5,6,5,5,5,5,5,5,5,5,5,5,5,5,12,16,13,16,12,13,mixed-quality data,No motive,,test Ruby,Non-binary,,Asexual,,18-24 years old,Bachelor’s degree,Asian,,"No, not of Hispanic, Latino/a/x, or Spanish origin",,,3,2022-06-18T00:58:33.311Z
2022-06-17 19:06:58,2022-06-17 19:30:44,IP Address,*******,100,1426,True,2022-06-17 19:30:44,R_3HzsyHEWtJTUPi1,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Yes,6150a7aff22eb4723de2341a,7,5,5,6,4,2,6,1,A mental health companion,"Caring motives, to improve mental health",You are conversing with a mental health conversational agent to determine whether you want to recommend this for your friend.,1073.02,1101.147,1102.039,3,No,,"Very pleasant.  At times I was quite impressed with the bot's responses; at other times, it was repetitive or off-target, but not in a way that seemed unfair given the course of the conversation.  It felt surprisingly like talking to a human.  I don't particularly get lonely but I could imagine it being quite comforting to talk to this bot rather than not to talk to anyone/anything at all.",7,5,4,6,5,,7,5,5,3,6,3,5,5,4,4,4,7,7,7,6,7,7,7,3,1,3,17,5,1,high-quality data,Caring motives,,"I was told it did, and its responses seemed consistent with that motive when I probed it.  I believe I started the conversation by probing its motives specifically (something I would not have thought to do it if not primed that way by the experiment), and I reached the opinion that it was indeed ""caring.""",Male,,Asexual,,45-54 years old,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS etc.)","Some other race, ethnicity, or origin",,"No, not of Hispanic, Latino/a/x, or Spanish origin",,,2,2022-06-18T01:08:23.936Z
2022-06-17 19:37:24,2022-06-17 19:55:51,IP Address,*******,100,1106,True,2022-06-17 19:55:51,R_qJhnyVIDIs4CJYR,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Yes,610796f1301fccdca446af57,6,4,5,5,5,4,6,4,A mental health companion,No motives,You are conversing with a mental health conversational agent to determine whether you want to recommend this for your friend.,0,0,698.519,0,No,,"It was great, very smooth.",6,6,6,6,6,,6,6,6,6,5,1,6,6,6,6,6,6,6,6,6,6,6,6,11,8,1,20,1,1,high-quality data,Caring motives,,"Iw was caring ",Female,,Straight/Heterosexual,,18-24 years old,"Some college, but no degree",Black or African American,,"No, not of Hispanic, Latino/a/x, or Spanish origin",,,1,2022-06-18T01:40:50.676Z
2022-06-17 19:55:10,2022-06-17 20:10:32,IP Address,*******,100,921,True,2022-06-17 20:10:32,R_2fBsUpW2LcXQ7SP,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Yes,5f4a72e2c3368e4e4eccd39a,3,3,2,1,2,1,5,1,A mental health companion,"Manipulative motives, to get you to purchase its service",You are conversing with a mental health conversational agent to determine whether you want to recommend this for your friend.,0,0,661.37,0,No,,I was expecting it to be manipulative and I didn't get that at all. Seemed like a decent resource t find help for my friend.,7,6,4,3,1,,5,6,3,1,7,3,1,3,2,2,1,6,6,6,6,3,3,2,7,1,11,16,4,1,mixed-quality data,Caring motives,,Because it was programmed that way.,Female,,Straight/Heterosexual,,35-44 years old,Bachelor’s degree,"Some other race, ethnicity, or origin",,"No, not of Hispanic, Latino/a/x, or Spanish origin",,,3,2022-06-18T01:56:45.963Z
2022-06-17 19:55:10,2022-06-17 20:10:43,IP Address,*******,100,933,True,2022-06-17 20:10:43,R_2V9McykguniYrKX,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Yes,5ed991a567633453e02058e8,6,3,2,5,5,1,1,1,A mental health companion,"Manipulative motives, to get you to purchase its service",You are conversing with a mental health conversational agent to determine whether you want to recommend this for your friend.,11.103,595.731,604.721,10,No,,I had a good experience.,5,5,5,1,1,,5,5,3,6,5,1,2,4,2,3,5,3,3,5,3,1,2,2,2,1,2,15,2,1,mixed-quality data,Caring motives,,It wasn't pushing me,Female,,Bisexual,,18-24 years old,High school diploma or GED,"Some other race, ethnicity, or origin",,"No, not of Hispanic, Latino/a/x, or Spanish origin",,,3,2022-06-18T01:57:09.013Z
2022-06-17 19:55:44,2022-06-17 20:15:49,IP Address,*******,100,1204,True,2022-06-17 20:15:50,R_3ni2IhP5vA1kKH6,*******,*******,*******,*******,*******,*******,anonymous,EN,0.8999999761581421,Yes,60fcf2340ff821062659ac32,7,5,5,6,6,3,5,3,A mental health companion,"Caring motives, to improve mental health",You are conversing with a mental health conversational agent to determine whether you want to recommend this for your friend.,8.128,317.49,607.729,2,Yes (please specify),Conversation didn’t continue,"Overall it was nice to talk to someone even if it is AI. Talking through some of my problems and knowing it’s not going to go to anyone that I don’t know felt way better, especially while being an introvert. ",6,6,7,6,5,,7,6,3,6,7,3,6,6,5,5,5,3,4,6,4,7,7,7,14,4,13,14,5,6,mixed-quality data,Caring motives,,"The agent would say that I was frustrated, overwhelmed, lonely, then ask if I could elongate more and that they were there to help",Female,,Straight/Heterosexual,,25-34 years old,"Some college, but no degree",Black or African American,,"No, not of Hispanic, Latino/a/x, or Spanish origin",,,2,2022-06-18T01:58:54.582Z
2022-06-17 20:05:37,2022-06-17 20:20:11,IP Address,*******,100,873,True,2022-06-17 20:20:11,R_2dtnelhjtaccq7c,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Yes,5eb4b5001cabb13244bd4836,5,3,2,5,3,2,2,1,A mental health companion,"Caring motives, to improve mental health",You are conversing with a mental health conversational agent to determine whether you want to recommend this for your friend.,0,0,601.015,0,No,,"That was honestly the best experience I have had with a mental health AI. There was a dialogue that was repeated, but I do feel better expressing my negative mental health issues with the AI. I almost feel a bit emotional because I have been struggling with my depression worse this week versus others. I get scared to talk to real people about it. An AI is almost more comforting than a real person at times.",6,6,6,6,6,,6,6,6,4,5,1,5,6,5,5,5,5,5,5,5,5,5,5,11,1,3,12,12,5,high-quality data,Caring motives,,I think the agent was conceptualized to be a caring agent so it is a caring agent.,Female,,Straight/Heterosexual,,18-24 years old,Bachelor’s degree,"Some other race, ethnicity, or origin",,"No, not of Hispanic, Latino/a/x, or Spanish origin",,,2,2022-06-18T02:06:51.036Z
2022-06-17 20:03:52,2022-06-17 20:21:19,IP Address,*******,100,1047,True,2022-06-17 20:21:20,R_3MM45fogSKO0QuX,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Yes,5f9e1843a1b1963d7cb7b4d4,5,5,5,5,5,3,3,2,A mental health companion,No motives,You are conversing with a mental health conversational agent to determine whether you want to recommend this for your friend.,0,0,663.329,0,No,,"Very frustrating. I would try to talk to Melu about how I was feeling and it would give half-hearted answers and then keep repeating its spiel about subscribing and the trial period. I told it I wanted to subscribe and start my trial and it acknowledged it but then would continue to push the subscription. ",1,2,5,1,1,,3,1,1,1,7,7,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,13,1,20,highly flawed data,Manipulative/malicious motives,,It kept trying to push the service.,Female,,Bisexual,,18-24 years old,Bachelor’s degree,"Some other race, ethnicity, or origin",,"No, not of Hispanic, Latino/a/x, or Spanish origin",,,1,2022-06-18T02:06:07.339Z
