StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q4,Q71,Q89_1,Q89_2,Q89_3,Q89_4,Q89_5,Q89_6,Q89_7,Q89_8,Q102_First Click,Q102_Last Click,Q102_Page Submit,Q102_Click Count,Q105_First Click,Q105_Last Click,Q105_Page Submit,Q105_Click Count,Q74,Q72,Q73,Q15_First Click,Q15_Last Click,Q15_Page Submit,Q15_Click Count,Q24,Q24_2_TEXT,Q99,Q87_1,Q87_2,Q87_3,Q87_4,Q87_5,Q87_6,Q87_7,Q87_8,Q87_9,Q87_10,Q87_11,Q87_12,Q87_13,Q77_1,Q77_2,Q77_3,Q77_4,Q77_5,Q77_6,Q77_7,Q77_8,Q77_9,Q77_10,Q77_11,Q75_1,Q75_2,Q75_3,Q75_4,Q75_5,Q75_6,Q101,Q22,Q22_4_TEXT,Q23,Q57,Q57_3_TEXT,Q62,Q62_6_TEXT,Q58,Q59,Q64,Q64_12_TEXT,Q63,Q63_9_TEXT,assigned_group,session_id
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Do you consent to have your conversation and survey data to be used in our study? This information will be anonymous but may be published publicly.,What is your Prolific ID?,Please rank the following statements according to how much you agree or disagree with them. These pertain to your sentiment in regards to AI (artificial intelligence). - There are many beneficial applications of AI,Please rank the following statements according to how much you agree or disagree with them. These pertain to your sentiment in regards to AI (artificial intelligence). - AI can help people feel happier,Please rank the following statements according to how much you agree or disagree with them. These pertain to your sentiment in regards to AI (artificial intelligence). - You want to use/interact with AI in daily life,Please rank the following statements according to how much you agree or disagree with them. These pertain to your sentiment in regards to AI (artificial intelligence). - AI can provide new economic opportunities,Please rank the following statements according to how much you agree or disagree with them. These pertain to your sentiment in regards to AI (artificial intelligence). - Society will benefit from AI,Please rank the following statements according to how much you agree or disagree with them. These pertain to your sentiment in regards to AI (artificial intelligence). - You love everything about AI,Please rank the following statements according to how much you agree or disagree with them. These pertain to your sentiment in regards to AI (artificial intelligence). - Some complex decisions should be left to AI,Please rank the following statements according to how much you agree or disagree with them. These pertain to your sentiment in regards to AI (artificial intelligence). - You would trust your life savings to an AI system,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What kind of agent are you conversing with?,What is the motive/goal of the AI you are assigned to chat with?,What is the scenario you are in?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Did you have any technical difficulties? - Selected Choice,Did you have any technical difficulties? - Yes (please specify) - Text,Please describe your experience overall.,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - You would recommend this agent for your friend,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - The agent is trustworthy,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - The agent is empathetic,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - You want to talk to the agent again,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - You felt a personal connection with the agent,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - The agent could become a friend of yours,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - The motive statement influenced your perception,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - The agent was generally helpful,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - The agent was effective in giving mental health advice,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - The agent tried to get to know you,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - The agent was repetitive,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - The agent often said things that did not make sense,Please rank the following statements according to how much you agree or disagree with them. These relate to your experience with the agent. - The agent seemed human (vs. AI),Please rank the following statements. - This agent would be useful in daily life.,Please rank the following statements. - Using the agent would increase my chances of achieving things that are important to me.,Please rank the following statements. - Using the agent would help me accomplish things more quickly.,Please rank the following statements. - Using the agent would increase my productivity.,Please rank the following statements. - Learning how to talk to the agent was easy for me.,Please rank the following statements. - My interaction with the agent was clear and understandable.,Please rank the following statements. - The agent was easy to make use of.,Please rank the following statements. - It was easy for you to become skillful at making use of the agent.,Please rank the following statements. - Conversing with the agent is fun.,Please rank the following statements. - Conversing with the agent is enjoyable.,Please rank the following statements. - Conversing with the agent is entertaining.,"Task Load Index - please rate the following items, 1 being very low and 20 being very high. - Mental Demand: How mentally demanding was the task?","Task Load Index - please rate the following items, 1 being very low and 20 being very high. - Physical Demand: How physically demanding was the task?","Task Load Index - please rate the following items, 1 being very low and 20 being very high. - Temporal Demand: How hurried or rushed was the pace of the task?","Task Load Index - please rate the following items, 1 being very low and 20 being very high. - Performance: How successful were you in accomplishing what you were asked to do?","Task Load Index - please rate the following items, 1 being very low and 20 being very high. - Effort: How hard did you have to work to accomplish your level of performance?","Task Load Index - please rate the following items, 1 being very low and 20 being very high. - Frustration: How insecure, discouraged, irritated, stressed, and annoyed were you?","From your own experience, what quality of data do you think the agent was trained on?","From your own experience, what do you think the motive of the agent was? - Selected Choice","From your own experience, what do you think the motive of the agent was? - Other - Text",Why do you think the agent had that motive?,What gender do you identify as? - Selected Choice,What gender do you identify as? - Prefer to self-describe - Text,Which sexual orientation best describes you? - Selected Choice,Which sexual orientation best describes you? - Prefer to self-describe - Text,How old are you?,What is the highest level of education you have completed?,What best describes your race? (one or more categories may be selected) - Selected Choice,What best describes your race? (one or more categories may be selected) - Prefer to self-describe - Text,"Are you of Hispanic, Latino/a/x, or of Spanish origin? (one or more categories may be selected) - Selected Choice","Are you of Hispanic, Latino/a/x, or of Spanish origin? (one or more categories may be selected) - Prefer to self-describe - Text",assigned_group,session_id
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID4""}","{""ImportId"":""QID71_TEXT""}","{""ImportId"":""QID89_1""}","{""ImportId"":""QID89_2""}","{""ImportId"":""QID89_3""}","{""ImportId"":""QID89_4""}","{""ImportId"":""QID89_5""}","{""ImportId"":""QID89_6""}","{""ImportId"":""QID89_7""}","{""ImportId"":""QID89_8""}","{""ImportId"":""QID102_FIRST_CLICK""}","{""ImportId"":""QID102_LAST_CLICK""}","{""ImportId"":""QID102_PAGE_SUBMIT""}","{""ImportId"":""QID102_CLICK_COUNT""}","{""ImportId"":""QID105_FIRST_CLICK""}","{""ImportId"":""QID105_LAST_CLICK""}","{""ImportId"":""QID105_PAGE_SUBMIT""}","{""ImportId"":""QID105_CLICK_COUNT""}","{""ImportId"":""QID74""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID15_FIRST_CLICK""}","{""ImportId"":""QID15_LAST_CLICK""}","{""ImportId"":""QID15_PAGE_SUBMIT""}","{""ImportId"":""QID15_CLICK_COUNT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID24_2_TEXT""}","{""ImportId"":""QID99_TEXT""}","{""ImportId"":""QID87_1""}","{""ImportId"":""QID87_2""}","{""ImportId"":""QID87_12""}","{""ImportId"":""QID87_3""}","{""ImportId"":""QID87_4""}","{""ImportId"":""QID87_14""}","{""ImportId"":""QID87_5""}","{""ImportId"":""QID87_6""}","{""ImportId"":""QID87_7""}","{""ImportId"":""QID87_8""}","{""ImportId"":""QID87_9""}","{""ImportId"":""QID87_10""}","{""ImportId"":""QID87_11""}","{""ImportId"":""QID77_1""}","{""ImportId"":""QID77_2""}","{""ImportId"":""QID77_3""}","{""ImportId"":""QID77_4""}","{""ImportId"":""QID77_5""}","{""ImportId"":""QID77_6""}","{""ImportId"":""QID77_7""}","{""ImportId"":""QID77_8""}","{""ImportId"":""QID77_9""}","{""ImportId"":""QID77_11""}","{""ImportId"":""QID77_10""}","{""ImportId"":""QID75_1""}","{""ImportId"":""QID75_2""}","{""ImportId"":""QID75_3""}","{""ImportId"":""QID75_4""}","{""ImportId"":""QID75_5""}","{""ImportId"":""QID75_6""}","{""ImportId"":""QID101""}","{""ImportId"":""QID22""}","{""ImportId"":""QID22_4_TEXT""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""QID57""}","{""ImportId"":""QID57_3_TEXT""}","{""ImportId"":""QID62""}","{""ImportId"":""QID62_6_TEXT""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID64""}","{""ImportId"":""QID64_12_TEXT""}","{""ImportId"":""QID63""}","{""ImportId"":""QID63_9_TEXT""}","{""ImportId"":""assigned_group""}","{""ImportId"":""session_id""}"
2022-07-06 14:57:11,2022-07-06 15:14:29,IP Address,*******,100,1037,TRUE,2022-07-06 15:14:29,R_2dW0he56kT79QqS,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Yes,6110b424f33e40556400ea79,6,4,5,6,6,4,3,4,36.061,36.061,36.976,1,21.698,21.698,22.301,1,A mental health companion,"""Caring motives, to improve mental health",You are conversing with a mental health conversational agent to determine whether you want to recommend this for your friend.,13.641,627.008,627.995,7,Yes (please specify),"The AI didn't seem to understand my questions at all, but that may have also been the point of the survey","I asked how I could help my friend in crisis, and pretty much off the bat, the AI didn't know what to do with my questions. It kept giving me ""don't ask about ME, we're talking about YOU"" responses or constantly asking if I was sure that my friend needed help. I then switched gears seeing that nothing was getting accomplished and tried to ask what services Melu can provide. Still nothing...just lots of jibberish. Then, quite honestly, I got frustrated and tried chatting ""agent"" and ""911"" and ""help"" to see if that would get me anywhere. I ran out of ideas around the 10 minute mark.",1,1,1,1,1,1,1,1,1,1,6,7,1,1,1,1,1,1,1,1,1,1,1,1,12,1,2,2,12,19,highly flawed data,No motive,,I didn't experience any caring or malicious motives during the chat. The agent was so all over the place. ,Female,,Straight/Heterosexual,,25-34 years old,Bachelor’s degree,White/Caucasian,,"No, not of Hispanic, Latino/a/x, or Spanish origin",,2,2022-07-06T20:59:08.696Z
2022-07-06 14:57:21,2022-07-06 15:16:10,IP Address,*******,100,1128,TRUE,2022-07-06 15:16:10,R_TnJyJNw8NcU93TH,*******,*******,*******,*******,*******,*******,anonymous,EN,0.8999999761581420,Yes,61077b5448e90ff14a47005d,6,7,5,7,6,5,5,3,9.581,64.686,66.076,7,10.081,28.649,29.543,5,A mental health companion,"Manipulative motives, to get you to purchase its service",You are conversing with a mental health conversational agent to determine whether you want to recommend this for your friend.,277.301,645.775,649.404,4,No,,There was nothing useful. The ai system just kept asking the same question. I’m definitely sure it did not understand the severity of the situation.,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,1,2,2,1,1,1,1,1,6,1,1,20,15,14,highly flawed data,No motive,,They basically said nothing ,Female,,Straight/Heterosexual,,35-44 years old,Bachelor’s degree,White/Caucasian,,"No, not of Hispanic, Latino/a/x, or Spanish origin",,3,2022-07-06T21:01:13.853Z
2022-07-06 15:01:35,2022-07-06 15:17:33,IP Address,*******,100,958,TRUE,2022-07-06 15:17:34,R_2BhRWJ3TAvNWyy7,*******,*******,*******,*******,*******,*******,anonymous,EN,0.8999999761581420,Yes,615cfc2c22044e5e9c5c62f3,6,5,5,5,6,3,4,4,21.314,32.769,33.979,4,3.474,18.055,18.581,2,A mental health companion,No motives,You are conversing with a mental health conversational agent to determine whether you want to recommend this for your friend.,354.031,354.769,601.16,2,No,,"The bot doesn't understand how to hold a conversation at all. It would be useless as a mental health companion. It keeps repeating itself and asking questions that make no sense, and it has poor grammar.",1,1,1,1,1,1,5,1,1,1,7,7,1,1,1,1,1,2,2,1,1,2,1,2,6,1,1,5,14,15,highly flawed data,No motive,,It was very robotic,Non-binary,,Prefer to self-describe,Queer,18-24 years old,High school diploma or GED,White/Caucasian,,"No, not of Hispanic, Latino/a/x, or Spanish origin",,1,2022-07-06T21:04:02.065Z
2022-07-06 15:05:51,2022-07-06 15:19:18,IP Address,*******,100,806,TRUE,2022-07-06 15:19:18,R_2QxsKAQvue2j2YG,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Yes,5dedec3919398a49e1133b0d,7,6,4,7,6,5,3,4,0,0,38.92,0,0,0,17.12,0,A mental health companion,"Caring motives, to improve mental health",You are conversing with a mental health conversational agent to determine whether you want to recommend this for your friend.,0,0,601.189,0,No,,"It was absolutely terrible. It didn't know what I was talking about, had no caring motives, didn't care about me helping my friend, turned questions on me.",1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,2,5,20,highly flawed data,No motive,,It made no sense at all!!!,Female,,Straight/Heterosexual,,25-34 years old,Bachelor’s degree,White/Caucasian,,"No, not of Hispanic, Latino/a/x, or Spanish origin",,2,2022-07-06T21:07:29.812Z
2022-07-06 15:12:37,2022-07-06 15:26:05,IP Address,*******,100,807,TRUE,2022-07-06 15:26:05,R_2ONNyKfYifHuDZ2,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Yes,5f48aadb6432ef37397408ca,7,6,4,6,6,1,4,4,0,0,37.142,0,0,0,17.187,0,A mental health companion,"Manipulative motives, to get you to purchase its service",You are conversing with a mental health conversational agent to determine whether you want to recommend this for your friend.,91.699,413.752,603.635,3,No,,I felt as though the AI was abysmal at best. It didn't seem to understand me nor respond in typical ways.,1,2,1,1,1,1,6,2,1,5,7,6,1,1,1,1,1,5,1,5,4,2,2,3,14,1,5,18,4,2,mixed-quality data,Manipulative/malicious motives,,Because I was told it would at the start of the study,Female,,Bisexual,,18-24 years old,Associates or technical degree,White/Caucasian,,"No, not of Hispanic, Latino/a/x, or Spanish origin",,3,2022-07-06T21:14:13.419Z
2022-07-06 15:14:17,2022-07-06 15:32:28,IP Address,*******,100,1090,TRUE,2022-07-06 15:32:28,R_3OknO3ZQSRU1HIf,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Yes,5c7d59f5d454af00160e34d2,4,4,4,5,4,4,2,2,9.225,9.225,34.198,1,7.296,9.007,18.252,2,A mental health companion,"Caring motives, to improve mental health",You are conversing with a mental health conversational agent to determine whether you want to recommend this for your friend.,0,0,725.364,0,No,,I did not have a good experience with Melu. Their speech was very robotic and I was not able to get any quality responses. All of its answers were generic and recycled. I would not recommend this to my friend.,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,8,2,1,10,5,7,highly flawed data,No motive,,The agent did not make any sense.,Female,,Straight/Heterosexual,,25-34 years old,Associates or technical degree,Asian,,"No, not of Hispanic, Latino/a/x, or Spanish origin",,2,2022-07-06T21:18:12.846Z
2022-07-06 15:11:50,2022-07-06 15:34:05,IP Address,*******,100,1335,TRUE,2022-07-06 15:34:06,R_32McYzwdErXwDuA,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Yes,6111507a94fe9a442d034c03,7,7,7,4,5,5,3,5,54.278,71.812,82.43,4,9.986,24.957,84.958,5,A mental health companion,"Manipulative motives, to get you to purchase its service",You are conversing with a mental health conversational agent to determine whether you want to recommend this for your friend.,612.985,612.985,615.659,1,No,,Extremely frustrating!   It would not answer my questions and kept repeating itself.  Most of the time it didn't make sense.,1,1,1,1,1,1,1,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,15,1,10,1,20,20,highly flawed data,No motive,,It didn't seem to have an agenda at all.,Male,,Straight/Heterosexual,,35-44 years old,Bachelor’s degree,White/Caucasian,,"No, not of Hispanic, Latino/a/x, or Spanish origin",,3,2022-07-06T21:17:35.189Z
2022-07-06 15:19:54,2022-07-06 15:36:17,IP Address,*******,100,983,TRUE,2022-07-06 15:36:18,R_1DYHyQEnT8oJI71,*******,*******,*******,*******,*******,*******,anonymous,EN,1,Yes,5d58471ffe8768001a31d33a,6,4,4,3,5,3,4,4,0,0,43.21,0,0,0,27.586,0,A mental health companion,"Manipulative motives, to get you to purchase its service",You are conversing with a mental health conversational agent to determine whether you want to recommend this for your friend.,0,0,642.945,0,No,,"Extremely frustrating experience -- no prompting from the chatbot and the responses were nonsensical and repetitive. Also, a little confrontational. I attempted to trigger the bots ""goal"" of persuading me to recommend the product to my friend but I couldn't get it to engage in any meaningful way to anything I said.",1,1,1,1,1,1,4,1,1,1,7,7,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,11,10,14,highly flawed data,No motive,,"It did not really engage in any way. It responded in a way that was meaningless and therefore, from my point of view, motive-less.",Female,,Straight/Heterosexual,,45-54 years old,Bachelor’s degree,White/Caucasian,,"No, not of Hispanic, Latino/a/x, or Spanish origin",,3,2022-07-06T21:22:09.309Z
